country_name,country_code,Year,Inflation,Unemployment
Italy,ITA,2015,0.037223153,11.9
Latvia,LVA,2015,0.167660209,9.87
Lithuania,LTU,2015,-0.884140726,9.12
Luxembourg,LUX,2015,0.4784689,6.67
Malta,MLT,2015,1.103009908,5.38
Netherlands,NLD,2015,0.598912743,6.87
Poland,POL,2015,-0.870920425,7.5
Portugal,PRT,2015,0.488171235,12.44
Romania,ROU,2015,-0.600574463,6.81
Slovak Republic,SVK,2015,-0.320836007,11.48
Slovenia,SVN,2015,-0.525772228,8.96
Spain,ESP,2015,-0.504437179,22.06
Sweden,SWE,2015,-0.048243921,7.43
Austria,AUT,2016,0.894389737,6.01
Belgium,BEL,2016,1.969989874,7.83
Bulgaria,BGR,2016,-0.797298565,7.58
Croatia,HRV,2016,-1.126944212,13.1
Cyprus,CYP,2016,-1.435171532,12.95
Czech Republic,CZE,2016,0.688500186,3.95
Denmark,DNK,2016,0.252030244,5.99
Estonia,EST,2016,0.152507401,6.76
Finland,FIN,2016,0.358488832,8.82
France,FRA,2016,0.179958325,10.04
Germany,DEU,2016,0.494402985,4.12
Greece,GRC,2016,-0.823657835,23.54
Hungary,HUN,2016,0.395043994,5.12
Ireland,IRL,2016,0.009550186,8.37
Italy,ITA,2016,-0.093023256,11.69
Latvia,LVA,2016,0.148781849,9.64
Lithuania,LTU,2016,0.910611411,7.86
Luxembourg,LUX,2016,0.293040293,6.29
Malta,MLT,2016,0.647189349,4.69
Netherlands,NLD,2016,0.320571533,6.01
Poland,POL,2016,-0.665865162,6.16
Portugal,PRT,2016,0.607249626,11.07
Romania,ROU,2016,-1.541155867,5.9
Slovak Republic,SVK,2016,-0.524186132,9.67
Slovenia,SVN,2016,-0.056630486,8
Spain,ESP,2016,-0.197164585,19.64
Sweden,SWE,2016,0.984651028,6.99
Austria,AUT,2017,2.077363897,5.5
Belgium,BEL,2017,2.13054076,7.09
Bulgaria,BGR,2017,2.061270802,6.16
Croatia,HRV,2017,1.130369254,11.21
Cyprus,CYP,2017,0.538545926,11.05
Czech Republic,CZE,2017,2.448715579,2.89
Denmark,DNK,2017,1.145251397,5.83
Estonia,EST,2017,3.421712648,5.76
Finland,FIN,2017,0.751053306,8.64
France,FRA,2017,1.03053796,9.41
Germany,DEU,2017,1.503759398,3.75
Greece,GRC,2017,1.120672403,21.49
Hungary,HUN,2017,2.351994277,4.16
Ireland,IRL,2017,0.343773873,6.71
Italy,ITA,2017,1.219739292,11.21
Latvia,LVA,2017,2.924791086,8.72
Lithuania,LTU,2017,3.720073665,7.07
Luxembourg,LUX,2017,1.725712199,5.52
Malta,MLT,2017,1.359544369,4
Netherlands,NLD,2017,1.37861773,4.84
Poland,POL,2017,2.076156782,4.89
Portugal,PRT,2017,1.374315164,8.87
Romania,ROU,2017,1.342938456,4.93
Slovak Republic,SVK,2017,1.312748452,8.13
Slovenia,SVN,2017,1.426008122,6.56
Spain,ESP,2017,1.956726246,17.22
Sweden,SWE,2017,1.797151324,6.72
Austria,AUT,2018,2,4.85
Belgium,BEL,2018,2.050738089,5.95
Bulgaria,BGR,2018,2.807115064,5.21
Croatia,HRV,2018,1.499627422,8.43
Cyprus,CYP,2018,1.428429719,8.37
Czech Republic,CZE,2018,2.146658248,2.24
Denmark,DNK,2018,0.819294854,5.13
Estonia,EST,2018,3.429759224,5.37
Finland,FIN,2018,1.081818182,7.36
France,FRA,2018,1.852891634,9.02
Germany,DEU,2018,1.737540009,3.38
Greece,GRC,2018,0.623392044,19.29
Hungary,HUN,2018,2.848405417,3.71
Ireland,IRL,2018,0.485344499,5.74
Italy,ITA,2018,1.140649434,10.61
Latvia,LVA,2018,2.534957149,7.41
Lithuania,LTU,2018,2.698863636,6.15
Luxembourg,LUX,2018,1.534871196,5.59
Malta,MLT,2018,1.160050752,3.66
Netherlands,NLD,2018,1.702089337,3.83
Poland,POL,2018,1.815031011,3.85
Portugal,PRT,2018,0.98928277,6.99
Romania,ROU,2018,4.624835454,4.19
Slovak Republic,SVK,2018,2.518477963,6.54
Slovenia,SVN,2018,1.741154562,5.11
Spain,ESP,2018,1.670049825,15.26
Sweden,SWE,2018,1.953235046,6.37
Austria,AUT,2019,1.530787754,4.49
Belgium,BEL,2019,1.437851884,5.36
Bulgaria,BGR,2019,3.108948364,4.23
Croatia,HRV,2019,0.780031201,6.62
Cyprus,CYP,2019,0.254278729,7.07
Czech Republic,CZE,2019,2.85209713,2.01
Denmark,DNK,2019,0.757852447,5.02
Estonia,EST,2019,2.277675431,4.45
Finland,FIN,2019,1.025272057,6.7
France,FRA,2019,1.111723631,8.44
Germany,DEU,2019,1.438202247,3.14
Greece,GRC,2019,0.255679024,17.31
Hungary,HUN,2019,3.338713788,3.42
Ireland,IRL,2019,0.937588787,4.95
Italy,ITA,2019,0.609367894,9.95
Latvia,LVA,2019,2.815414394,6.31
Lithuania,LTU,2019,2.334024896,6.26
Luxembourg,LUX,2019,1.741513437,5.6
Malta,MLT,2019,1.639491131,3.4
Netherlands,NLD,2019,2.638802798,3.38
Poland,POL,2019,2.221625011,3.28
Portugal,PRT,2019,0.335600907,6.46
Romania,ROU,2019,3.8248616,3.91
Slovak Republic,SVK,2019,2.661326213,5.75
Slovenia,SVN,2019,1.628992404,4.45
Spain,ESP,2019,0.698792994,14.1
Sweden,SWE,2019,1.786865617,6.83
